day,circulatingSupply
2021-05-29T00:00:00+00:00,2995427.1426925100427446
2021-05-28T00:00:00+00:00,2977035.4458678528187446
2021-05-27T00:00:00+00:00,2952453.5193643062127446
2021-05-26T00:00:00+00:00,2932794.4930464940727446
2021-05-25T00:00:00+00:00,2802220.1810175715157446
2021-05-24T00:00:00+00:00,2789682.3407038933987446
2021-05-23T00:00:00+00:00,2767420.9133549742837446
2021-05-22T00:00:00+00:00,2627580.2241291669397446
2021-05-21T00:00:00+00:00,2600144.7974506408147446
2021-05-20T00:00:00+00:00,2569569.6024953723117446
2021-05-19T00:00:00+00:00,2531333.2418468058597446
2021-05-18T00:00:00+00:00,2300167.0380756699727446
2021-05-17T00:00:00+00:00,2289053.2058483243067446
2021-05-16T00:00:00+00:00,2276695.2868366330257446
2021-05-15T00:00:00+00:00,2230717.2075536191497446
2021-05-14T00:00:00+00:00,2218558.9340199578207446
2021-05-13T00:00:00+00:00,2123025.4984465279987446
2021-05-12T00:00:00+00:00,2102373.1139488450747446
2021-05-11T00:00:00+00:00,1871847.8095474280927446
2021-05-10T00:00:00+00:00,1864919.4368058411364952
2021-05-09T00:00:00+00:00,1847959.8757789095314952
2021-05-08T00:00:00+00:00,1834923.9256657934804952
2021-05-07T00:00:00+00:00,1825484.8026707542494918
2021-05-06T00:00:00+00:00,1726325.4164547489134918
2021-05-05T00:00:00+00:00,1708577.4871386556084918
2021-05-04T00:00:00+00:00,1673851.6880026324514918
2021-05-03T00:00:00+00:00,1563811.8282691759944918
2021-05-02T00:00:00+00:00,1539413.6568427185014918
2021-05-01T00:00:00+00:00,1417255.6276656416394918
2021-04-30T00:00:00+00:00,1407937.6125856967659955
2021-04-29T00:00:00+00:00,1378199.4497540642279955
2021-04-28T00:00:00+00:00,1268704.8463819586529955
2021-04-27T00:00:00+00:00,1254917.4841527113079955
2021-04-26T00:00:00+00:00,1027493.6971832971839955
2021-04-25T00:00:00+00:00,1011295.3654364349179955
2021-04-24T00:00:00+00:00,1002113.051061159634
2021-04-23T00:00:00+00:00,964444.560714880421
2021-04-22T00:00:00+00:00,946820.122561080621
2021-04-21T00:00:00+00:00,808795.433335516159
2021-04-20T00:00:00+00:00,789447.208410594779
2021-04-19T00:00:00+00:00,774971.836180539367
2021-04-18T00:00:00+00:00,733722.739086792551
2021-04-17T00:00:00+00:00,666197.736306916801
2021-04-16T00:00:00+00:00,619259.596004488541
2021-04-15T00:00:00+00:00,564699.051410084595
2021-04-14T00:00:00+00:00,493243.046827883119
2021-04-13T00:00:00+00:00,444820.932640373567
2021-04-12T00:00:00+00:00,376760.625159109645
2021-04-11T00:00:00+00:00,329946.477627538223
2021-04-10T00:00:00+00:00,279872.539136587196
2021-04-09T00:00:00+00:00,216603.259402423789
2021-04-08T00:00:00+00:00,172471.720113597024
2021-04-07T00:00:00+00:00,120881.833644116651
2021-04-06T00:00:00+00:00,73505.921859391138
2021-04-05T00:00:00+00:00,22401.136860975220
