date,ETH in pool,USD in pool
2020-10-22T00:00:00+00:00,26904.5000000000000000,7807685.022000001
2020-10-21T00:00:00+00:00,28889.9000000000000000,8585326.494
2020-10-20T00:00:00+00:00,30265.3000000000000000,9093110.420000002
2020-10-19T00:00:00+00:00,30840.5000000000000000,9311485.100000001
2020-10-18T00:00:00+00:00,32365.1000000000000000,9888271.772000002
2020-10-17T00:00:00+00:00,32785.1000000000000000,10043209.772000002
2020-10-16T00:00:00+00:00,29415.2000000000000000,8809253.489000002
2020-10-15T00:00:00+00:00,28054.5000000000000000,8295181.029000001
2020-10-14T00:00:00+00:00,28852.7000000000000000,8598265.551
2020-10-13T00:00:00+00:00,29978.6000000000000000,9027942.768000001
2020-10-12T00:00:00+00:00,28082.5000000000000000,8294834.664000002
2020-10-11T00:00:00+00:00,27803.2000000000000000,8190189.3330000015
2020-10-10T00:00:00+00:00,23672.5000000000000000,6657740.940000001
2020-10-09T00:00:00+00:00,21070.1000000000000000,5706433.620000001
2020-10-08T00:00:00+00:00,24902.7000000000000000,7053400.8900000015
2020-10-07T00:00:00+00:00,23911.4000000000000000,6714168.1170000015
2020-10-06T00:00:00+00:00,23479.8000000000000000,6566910.513000001
2020-10-05T00:00:00+00:00,24090.9000000000000000,6783178.803000001
2020-10-04T00:00:00+00:00,26436.9000000000000000,7610636.463000001
2020-10-03T00:00:00+00:00,25371.9000000000000000,7241358.363000002
2020-10-02T00:00:00+00:00,25583.3000000000000000,7314557.727000002
2020-10-01T00:00:00+00:00,25966.0000000000000000,7449819.215000002
2020-09-30T00:00:00+00:00,24434.7000000000000000,6898995.292000002
2020-09-29T00:00:00+00:00,24521.7000000000000000,6930317.902000003
2020-09-28T00:00:00+00:00,24606.7000000000000000,6960462.302000003
2020-09-27T00:00:00+00:00,22717.7000000000000000,6285371.482000003
2020-09-26T00:00:00+00:00,22787.8000000000000000,6310231.045000003
2020-09-25T00:00:00+00:00,20632.4000000000000000,5551250.043000002
2020-09-24T00:00:00+00:00,18978.6000000000000000,4973313.0950000025
2020-09-23T00:00:00+00:00,18490.6000000000000000,4816718.775000002
2020-09-22T00:00:00+00:00,18196.6000000000000000,4715368.155000002
2020-09-21T00:00:00+00:00,18827.6000000000000000,4930955.615000002
2020-09-20T00:00:00+00:00,18162.3000000000000000,4683730.135000002
2020-09-19T00:00:00+00:00,17107.7000000000000000,4276654.535000002
2020-09-18T00:00:00+00:00,15608.3000000000000000,3700495.091000002
2020-09-17T00:00:00+00:00,15549.4000000000000000,3677562.376000002
2020-09-16T00:00:00+00:00,15794.4000000000000000,3767063.326000002
2020-09-15T00:00:00+00:00,15525.8000000000000000,3669112.964000002
2020-09-14T00:00:00+00:00,16181.6000000000000000,3916677.464000002
2020-09-13T00:00:00+00:00,15708.8000000000000000,3743533.376000002
2020-09-12T00:00:00+00:00,14743.8000000000000000,3369190.576000002
2020-09-11T00:00:00+00:00,14122.6000000000000000,3136600.8720000023
2020-09-10T00:00:00+00:00,14080.2000000000000000,3121004.456000002
2020-09-09T00:00:00+00:00,14479.6000000000000000,3261317.6700000023
2020-09-08T00:00:00+00:00,14470.3000000000000000,3258176.0370000023
