hour,totalLQTYStaked,totalLQTYClaimed
2022-02-15T15:00:00+00:00,12205432.915073604860,15471126.391339128107522482000000000000000000
2022-02-15T18:00:00+00:00,12205856.015073604860,15471257.516539376711180182000000000000000000
2022-02-15T20:00:00+00:00,,15471369.507071341442985582000000000000000000
2022-02-15T21:00:00+00:00,,15471394.990910271236915682000000000000000000
2022-02-15T22:00:00+00:00,12207646.416173604860,15471395.432441507482710825000000000000000000
2022-02-16T01:00:00+00:00,,15471404.359731451385706125000000000000000000
2022-02-16T02:00:00+00:00,,15471404.359731451385706125000000000000000000
2022-02-16T04:00:00+00:00,12210198.292470996441,15471404.359731451385706125000000000000000000
2022-02-16T05:00:00+00:00,12213244.439697928881,15473850.728997958248811925000000000000000000
2022-02-16T08:00:00+00:00,12213832.670221491643,15474926.048783036168142509000000000000000000
2022-02-16T09:00:00+00:00,12215775.395353438607,15474926.048783036168142509000000000000000000
2022-02-16T11:00:00+00:00,12215826.038347362418,15504500.368881691291334909000000000000000000
2022-02-16T12:00:00+00:00,,15504631.007235543999512609000000000000000000
2022-02-16T14:00:00+00:00,,15504704.826577479878757209000000000000000000
2022-02-16T17:00:00+00:00,12206206.119901508169,15504704.826577479878757209000000000000000000
2022-02-16T20:00:00+00:00,12200365.119901508169,15504704.826577479878757209000000000000000000
2022-02-16T22:00:00+00:00,12200181.339901508169,15504706.639216235704936128000000000000000000
2022-02-16T23:00:00+00:00,12201297.619901508169,15504706.639216235704936128000000000000000000
2022-02-17T00:00:00+00:00,,15504778.523066303227964328000000000000000000
2022-02-17T01:00:00+00:00,,15504778.523066303227964328000000000000000000
2022-02-17T02:00:00+00:00,12200867.159901508169,15504778.523066303227964328000000000000000000
2022-02-17T03:00:00+00:00,12202027.349901508169,15504778.523066303227964328000000000000000000
2022-02-17T05:00:00+00:00,12206649.862815700558,15504778.523066303227964328000000000000000000
2022-02-17T07:00:00+00:00,,15510998.861537650093946432000000000000000000
2022-02-17T08:00:00+00:00,,15511275.456133594740873632000000000000000000
2022-02-17T10:00:00+00:00,,15511402.103099023158543032000000000000000000
2022-02-17T12:00:00+00:00,12206766.557815700558,15511402.103099023158543032000000000000000000
2022-02-17T13:00:00+00:00,,15511477.463217962894776132000000000000000000
2022-02-17T15:00:00+00:00,,15511603.420877180235664332000000000000000000
2022-02-17T16:00:00+00:00,,15512374.518792004517211432000000000000000000
2022-02-17T17:00:00+00:00,,15513197.509079274349600532000000000000000000
2022-02-17T21:00:00+00:00,,15513636.647745548237748332000000000000000000
2022-02-17T22:00:00+00:00,12207504.985206737430,15513636.647745548237748332000000000000000000
2022-02-18T00:00:00+00:00,,15513643.173385720317370632000000000000000000
2022-02-18T01:00:00+00:00,,15513781.039283476459144732000000000000000000
2022-02-18T02:00:00+00:00,12207760.922101643735,15513781.039283476459144732000000000000000000
2022-02-18T03:00:00+00:00,12211128.335072101895,15513781.039283476459144732000000000000000000
2022-02-18T04:00:00+00:00,12211105.640377092319,15513781.039283476459144732000000000000000000
2022-02-18T06:00:00+00:00,12216518.960377092319,15513781.039283476459144732000000000000000000
2022-02-18T07:00:00+00:00,12216806.484659850652,15513810.207922256575843132000000000000000000
2022-02-18T09:00:00+00:00,,15684741.513486034608843132000000000000000000
2022-02-18T10:00:00+00:00,12427309.694659850652,15684741.513486034608843132000000000000000000
2022-02-18T12:00:00+00:00,12439968.547782214241,15685699.981112932701010332000000000000000000
2022-02-18T13:00:00+00:00,12431907.964602794886,15685699.981112932701010332000000000000000000
2022-02-18T14:00:00+00:00,12455658.704602794886,15685699.981112932701010332000000000000000000
2022-02-18T15:00:00+00:00,,15685842.281704335044751232000000000000000000
2022-02-18T18:00:00+00:00,12455358.704602794886,15686768.927399409169121132000000000000000000
2022-02-18T20:00:00+00:00,12456014.711957834102,15694212.518497815328891132000000000000000000
2022-02-18T21:00:00+00:00,12457794.651957834102,15694212.518497815328891132000000000000000000
2022-02-18T22:00:00+00:00,12459856.921957834102,15720298.593912907349891132000000000000000000
2022-02-19T01:00:00+00:00,12468547.412772584102,15720349.518991891150540232000000000000000000
2022-02-19T02:00:00+00:00,,15720496.359871891527585132000000000000000000
2022-02-19T03:00:00+00:00,12468704.550542696448,15720607.845330384307353308000000000000000000
2022-02-19T05:00:00+00:00,,15720607.845330384307353308000000000000000000
2022-02-19T06:00:00+00:00,12484233.659586264435,15720607.845330384307353308000000000000000000
2022-02-19T08:00:00+00:00,12500432.449918050132,15730851.402758922092300531000000000000000000
2022-02-19T10:00:00+00:00,12505698.416098061317,15730851.402758922092300531000000000000000000
2022-02-19T12:00:00+00:00,,15733035.910424382007777447000000000000000000
2022-02-19T13:00:00+00:00,12471513.829228001101,15736282.029028907026817148000000000000000000
2022-02-19T14:00:00+00:00,12452867.451082499085,15736282.029028907026817148000000000000000000
2022-02-19T15:00:00+00:00,12444724.087380150348,15736282.029028907026817148000000000000000000
2022-02-19T16:00:00+00:00,12448896.983677801612,15736282.029028907026817148000000000000000000
2022-02-19T17:00:00+00:00,12451780.123677801612,15737413.874434457435977948000000000000000000
2022-02-19T18:00:00+00:00,12445861.074481306649,15737413.874434457435977948000000000000000000
2022-02-19T20:00:00+00:00,,15737416.596415024561461248000000000000000000
2022-02-19T21:00:00+00:00,12454388.840642537037,15737416.596415024561461248000000000000000000
2022-02-19T22:00:00+00:00,12450205.205576359840,15737416.596415024561461248000000000000000000
2022-02-20T00:00:00+00:00,,15740034.179943426083591948000000000000000000
2022-02-20T01:00:00+00:00,12425205.205576359840,15740034.179943426083591948000000000000000000
2022-02-20T03:00:00+00:00,12420076.205576359841,15740063.447682131077781048000000000000000000
2022-02-20T04:00:00+00:00,12420306.158263999740,15740293.400369770976993448000000000000000000
2022-02-20T05:00:00+00:00,12420826.158263999740,15740293.400369770976993448000000000000000000
2022-02-20T06:00:00+00:00,12346175.174045241822,15740293.400369770976993448000000000000000000
2022-02-20T07:00:00+00:00,12346689.161816094610,15740293.400369770976993448000000000000000000
2022-02-20T08:00:00+00:00,12343259.037011938173,15742815.672335785985546848000000000000000000
2022-02-20T09:00:00+00:00,12324705.653709201523,15742815.672335785985546848000000000000000000
2022-02-20T10:00:00+00:00,12324647.707935661949,15742933.657189773374840220000000000000000000
2022-02-20T11:00:00+00:00,12324347.707935661949,15742933.657189773374840220000000000000000000
2022-02-20T12:00:00+00:00,12326793.674478441949,15742933.657189773374840220000000000000000000
2022-02-20T13:00:00+00:00,12329752.234478441949,15742933.657189773374840220000000000000000000
2022-02-20T15:00:00+00:00,,15742969.170674360500897320000000000000000000
2022-02-20T16:00:00+00:00,12330673.124512861949,15742969.170674360500897320000000000000000000
2022-02-20T18:00:00+00:00,12356081.856581401949,15742969.170674360500897320000000000000000000
2022-02-20T19:00:00+00:00,12383291.027293193068,15742969.170674360500897320000000000000000000
2022-02-20T21:00:00+00:00,12384419.259605423511,15743657.607998598046197218000000000000000000
2022-02-20T22:00:00+00:00,,15745298.081644067877207418000000000000000000
2022-02-21T00:00:00+00:00,12382658.527808111196,15745298.081644067877207418000000000000000000
2022-02-21T02:00:00+00:00,,15745452.553512630056691018000000000000000000
2022-02-21T03:00:00+00:00,12382692.345548553130,15745549.722381208288523901000000000000000000
2022-02-21T05:00:00+00:00,12384231.767286020595,15745549.722381208288523901000000000000000000
2022-02-21T06:00:00+00:00,12385843.826132874589,15747328.761263777134764101000000000000000000
2022-02-21T08:00:00+00:00,,15747328.762032493266008472000000000000000000
2022-02-21T10:00:00+00:00,,15748413.362982523413417372000000000000000000
2022-02-21T13:00:00+00:00,,15749442.870077143106426573000000000000000000
2022-02-21T14:00:00+00:00,12386301.770373373105,15749767.329513366813035464000000000000000000
2022-02-21T16:00:00+00:00,,15749771.691127299632547064000000000000000000
2022-02-21T18:00:00+00:00,,15749776.242540593923079264000000000000000000
2022-02-21T20:00:00+00:00,,15750802.202769175401952164000000000000000000
2022-02-21T23:00:00+00:00,12386324.771359873271,15750802.202769175401952164000000000000000000
2022-02-22T01:00:00+00:00,12336324.771359873271,15750802.202769175401952164000000000000000000
2022-02-22T02:00:00+00:00,,15750867.392573317082552064000000000000000000
2022-02-22T03:00:00+00:00,12337677.391359873271,15753622.975752650879428864000000000000000000
2022-02-22T04:00:00+00:00,12360093.118181686459,15753651.507937067582191064000000000000000000
2022-02-22T05:00:00+00:00,,15753702.902564557778854564000000000000000000
2022-02-22T06:00:00+00:00,12361864.228181686459,15753860.525570051013415264000000000000000000
2022-02-22T07:00:00+00:00,12358105.879947939403,15753860.525570051013415264000000000000000000
2022-02-22T08:00:00+00:00,12363340.669947939403,15753860.525570051013415264000000000000000000
2022-02-22T09:00:00+00:00,12364002.419947939403,15753860.525570051013415264000000000000000000
2022-02-22T10:00:00+00:00,12370852.539947939403,15753860.525570051013415264000000000000000000
2022-02-22T11:00:00+00:00,12372401.169320533685,15753860.525570051013415264000000000000000000
2022-02-22T12:00:00+00:00,,15756584.876960166480968761000000000000000000
2022-02-22T13:00:00+00:00,,15756610.949141089827695361000000000000000000
2022-02-22T14:00:00+00:00,,15756630.667669346990408261000000000000000000
2022-02-22T15:00:00+00:00,,15794729.925718849302408261000000000000000000
2022-02-23T00:00:00+00:00,12372970.870157421781,15794881.270056834196430261000000000000000000
2022-02-23T03:00:00+00:00,12373109.551194071815,15794919.864161935429429461000000000000000000
2022-02-23T04:00:00+00:00,12374266.549577378089,15795305.750471492975049861000000000000000000
2022-02-23T05:00:00+00:00,,15795900.468816348084556859000000000000000000
2022-02-23T06:00:00+00:00,12388599.659577378089,15802762.871007726953141259000000000000000000
2022-02-23T07:00:00+00:00,12388549.234021831699,15802762.871007726953141259000000000000000000
2022-02-23T08:00:00+00:00,,15802783.658788510100564759000000000000000000
2022-02-23T11:00:00+00:00,12390310.640941892240,15803516.410716683130874859000000000000000000
2022-02-23T12:00:00+00:00,12391078.894319110468,15803940.601154419909172959000000000000000000
2022-02-23T13:00:00+00:00,12391442.730463028046,15804306.030379242054899122000000000000000000
2022-02-23T15:00:00+00:00,,15804309.544282018766153422000000000000000000
2022-02-23T16:00:00+00:00,12398735.910463028046,15804309.544282018766153422000000000000000000
2022-02-23T18:00:00+00:00,12403278.550463028046,15804309.544282018766153422000000000000000000
2022-02-23T19:00:00+00:00,12404277.259016688046,15804309.544282018766153422000000000000000000
2022-02-23T20:00:00+00:00,12404287.259016688046,15804309.544282018766153422000000000000000000
2022-02-23T21:00:00+00:00,12404481.354016688046,15804309.544282018766153422000000000000000000
2022-02-24T00:00:00+00:00,,15804737.979710610400236022000000000000000000
2022-02-24T01:00:00+00:00,12405385.869016688046,15804755.165011628737464922000000000000000000
2022-02-24T02:00:00+00:00,12388331.044016688048,15804755.165011628737464922000000000000000000
2022-02-24T03:00:00+00:00,,15804964.663323275482570267000000000000000000
2022-02-24T04:00:00+00:00,12389423.470492620523,15806253.894618538549606983000000000000000000
2022-02-24T05:00:00+00:00,12395451.146762572141,15806310.866653250335415683000000000000000000
2022-02-24T06:00:00+00:00,12398032.473032523759,15806380.182248248825066983000000000000000000
2022-02-24T07:00:00+00:00,12402523.989165633394,15807178.829718780388130294000000000000000000
2022-02-24T08:00:00+00:00,12407510.850832300063,15824024.853530884362595802000000000000000000
2022-02-24T09:00:00+00:00,12408377.904165633403,15825859.708149364882658199000000000000000000
2022-02-24T10:00:00+00:00,12410941.211661488604,15838203.611869045418975399000000000000000000
2022-02-24T11:00:00+00:00,12417097.045052220731,15838203.611869045418975399000000000000000000
2022-02-24T12:00:00+00:00,12422464.480017227994,15838327.883450622341921299000000000000000000
2022-02-24T13:00:00+00:00,12423228.660017227995,15838327.883450622341921299000000000000000000
2022-02-24T14:00:00+00:00,12438724.863236954246,15839797.802867437142852099000000000000000000
2022-02-24T15:00:00+00:00,12449530.005063377532,15839797.802867437142852099000000000000000000
2022-02-24T17:00:00+00:00,12461490.995799556704,15839848.682901837706523599000000000000000000
2022-02-24T18:00:00+00:00,,15840072.367815964591615099000000000000000000
2022-02-24T20:00:00+00:00,12459559.283558099209,15840079.482926798356165799000000000000000000
2022-02-24T21:00:00+00:00,12461145.329528302564,15840132.717895830055434699000000000000000000
2022-02-24T23:00:00+00:00,,15840140.590879299144990999000000000000000000
2022-02-25T00:00:00+00:00,12470953.849528302564,15840140.590879299144990999000000000000000000
2022-02-25T02:00:00+00:00,12471399.884607256279,15840140.590879299144990999000000000000000000
2022-02-25T03:00:00+00:00,,15840173.674706216692888299000000000000000000
2022-02-25T06:00:00+00:00,,15840320.256318375461921299000000000000000000
2022-02-25T07:00:00+00:00,12471625.766401503455,15841085.291085694988501099000000000000000000
2022-02-25T08:00:00+00:00,12475113.038322755902,15841126.437157912062227299000000000000000000
2022-02-25T09:00:00+00:00,12474671.563543729171,15841126.437157912062227299000000000000000000
2022-02-25T10:00:00+00:00,12470748.813543729171,15841126.437157912062227299000000000000000000
2022-02-25T11:00:00+00:00,,15841326.766964070549498599000000000000000000
2022-02-25T12:00:00+00:00,12472189.643543729171,15841326.766964070549498599000000000000000000
2022-02-25T13:00:00+00:00,,15841548.349761277145199999000000000000000000
2022-02-25T17:00:00+00:00,12474151.523543729171,15841548.349761277145199999000000000000000000
2022-02-25T23:00:00+00:00,12474449.146933449171,15842804.546871558953267199000000000000000000
2022-02-26T04:00:00+00:00,12471433.490818738627,15843040.110656483379229299000000000000000000
2022-02-26T05:00:00+00:00,12470479.955957247892,15843780.867643598283980599000000000000000000
2022-02-26T06:00:00+00:00,,15857548.273021901827725499000000000000000000
2022-02-26T08:00:00+00:00,,15878672.464674618603463199000000000000000000
2022-02-26T10:00:00+00:00,,15878853.937365060109987699000000000000000000
2022-02-26T11:00:00+00:00,12470923.816893982092,15880104.495223906917086905000000000000000000
2022-02-26T12:00:00+00:00,,15885790.660996213675897505000000000000000000
2022-02-26T13:00:00+00:00,,15885802.539952091096880005000000000000000000
2022-02-26T21:00:00+00:00,12472620.015243734616,15887009.268344889099740680000000000000000000
2022-02-26T22:00:00+00:00,12473745.558401790547,15887009.268344889099740680000000000000000000
2022-02-27T00:00:00+00:00,12476365.009012789213,15888842.347409484469218780000000000000000000
2022-02-27T01:00:00+00:00,,15888895.547405576312927180000000000000000000
2022-02-27T02:00:00+00:00,12476334.021663784878,15888895.547405576312927180000000000000000000
2022-02-27T04:00:00+00:00,12477468.021663784878,15897743.209920675796123380000000000000000000
2022-02-27T05:00:00+00:00,12479798.183126551088,15900765.856724396351795172000000000000000000
2022-02-27T06:00:00+00:00,12480906.527813573838,15901269.799206014467470947000000000000000000
2022-02-27T07:00:00+00:00,,15901272.703258910099946847000000000000000000
2022-02-27T08:00:00+00:00,12482008.083133774283,15903995.817119735612068947000000000000000000
2022-02-27T09:00:00+00:00,12481842.553343631248,15904138.427329592577025447000000000000000000
2022-02-27T11:00:00+00:00,12495791.928979667166,15907289.786483570572676747000000000000000000
2022-02-27T12:00:00+00:00,12495981.216256640528,15907289.786483570572676747000000000000000000
2022-02-27T13:00:00+00:00,12498852.151126712900,15907289.786483570572676747000000000000000000
2022-02-27T14:00:00+00:00,12503953.531152291753,15910171.825984823971063547000000000000000000
2022-02-27T15:00:00+00:00,12508905.548626226133,15910171.825984823971063547000000000000000000
2022-02-27T22:00:00+00:00,,15910344.520827365188590547000000000000000000
2022-02-28T01:00:00+00:00,12512984.078626226133,15910344.520827365188590547000000000000000000
2022-02-28T08:00:00+00:00,12513414.691254879433,15910623.855316561808602747000000000000000000
2022-02-28T10:00:00+00:00,12512552.986254879433,15910623.855316561808602747000000000000000000
2022-02-28T12:00:00+00:00,,15911232.013577727669589247000000000000000000
2022-02-28T13:00:00+00:00,12511662.284204209918,15911237.980236450553696347000000000000000000
2022-02-28T15:00:00+00:00,12512477.124204209918,15911237.980236450553696347000000000000000000
2022-02-28T19:00:00+00:00,,15911237.980236450553696347000000000000000000
2022-03-01T00:00:00+00:00,12512552.124204209918,15911258.082739151973373747000000000000000000
2022-03-01T02:00:00+00:00,12514258.120017470000,15911258.082739151973373747000000000000000000
2022-03-01T04:00:00+00:00,12515774.427136297916,15911258.082739151973373747000000000000000000
2022-03-01T06:00:00+00:00,,15912976.343072585266208447000000000000000000
2022-03-01T07:00:00+00:00,12519292.602437473082,15916581.223014743868104547000000000000000000
2022-03-01T08:00:00+00:00,12519878.364496060023,15916581.223014743868104547000000000000000000
2022-03-01T09:00:00+00:00,,15916737.805284525398464347000000000000000000
2022-03-01T10:00:00+00:00,,15916755.714129418618063247000000000000000000
2022-03-01T11:00:00+00:00,12520584.430122887344,15921334.429450922842801406000000000000000000
2022-03-01T12:00:00+00:00,12522567.075787662279,15921335.630980049437556306000000000000000000
2022-03-01T13:00:00+00:00,12522190.603800943946,15921335.630980049437556306000000000000000000
2022-03-01T16:00:00+00:00,,15921335.630980049437556306000000000000000000
2022-03-01T17:00:00+00:00,12520319.155673294532,15921593.622643576626798106000000000000000000
2022-03-01T18:00:00+00:00,12519970.187764752053,15921593.622643576626798106000000000000000000
2022-03-01T20:00:00+00:00,,15921700.937495952983887906000000000000000000
2022-03-01T22:00:00+00:00,,15921728.566688046002005106000000000000000000
2022-03-02T00:00:00+00:00,12505100.338664063057,15921728.566688046002005106000000000000000000
2022-03-02T01:00:00+00:00,,15921736.491856555464544306000000000000000000
2022-03-02T02:00:00+00:00,,15922787.531857943888269455000000000000000000
2022-03-02T04:00:00+00:00,,15923314.719791543428828155000000000000000000
2022-03-02T05:00:00+00:00,12506023.492311012644,15924199.758946255043276553000000000000000000
2022-03-02T06:00:00+00:00,12506252.451502267412,15924320.360694956645733053000000000000000000
2022-03-02T07:00:00+00:00,12506025.834127449214,15924320.360694956645733053000000000000000000
2022-03-02T08:00:00+00:00,12508440.183596472527,15924324.221932918315922453000000000000000000
2022-03-02T09:00:00+00:00,12509594.652419626949,15925915.419403831977218168000000000000000000
