block_time,tornado_pool,torn_fee,fee_contract_address,gas_fee,additional_eth,relayers_fee,relayer,tx_hash
2022-03-02T05:52:00+00:00,10000 DAI,0.7906833508956796,\x6b175474e89094c44da98b954eedeac495271d0f,0.02138731375620274800,0.00616660000000000000,145.5791369232489,\x18f516dd6d5f46b2875fd822b994081274be2a8b,\xb75367b2156003bd7abaef62922cb5b63c3b182d7ebbe5f95f00472f1737f594
2022-03-02T05:52:00+00:00,10000 DAI,0.7906833508956796,\x6b175474e89094c44da98b954eedeac495271d0f,0.02053639229834914400,0.00628320000000000000,148.1794559589008,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\x6cedd0e3b31d9a5f1e8d20272394be55199bc8f15a1ba141010e2c2ca18406b6
2022-03-02T05:52:00+00:00,10000 DAI,0.7906833508956796,\x6b175474e89094c44da98b954eedeac495271d0f,0.01889650632341233800,0.00641850000000000000,155.61709717999247,\xbe4d1e137a24af091be80ae58d652279665e3a27,\x3584a64e018572fabb1c3b8208a1b16a2785b3c4ec17ff1d00e5b834f73f3893
2022-03-02T05:51:00+00:00,10 ETH,2.368830347734457,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01824965990823509000,0,0.070833,\xbe4d1e137a24af091be80ae58d652279665e3a27,\xfb5dc529d44d821281e5649a998c2a9ba5ff674dbaa455a6ef5b043c9547dfa0
2022-03-02T05:51:00+00:00,10000 DAI,0.7906833508956796,\x6b175474e89094c44da98b954eedeac495271d0f,0.01912930249395991000,0.00451000000000000000,127.07353163141742,\x6a2d058890cca15beaee5050caaad56b2ab54dd4,\x35a62168014571f7b4aaaefbd3a6bb47f512b30246e66196a79096bd996a61f9
2022-03-02T05:49:00+00:00,100000 DAI,7.869127358490566,\x6b175474e89094c44da98b954eedeac495271d0f,0.01750758414739662000,0.00387860000000000000,479.36651507057655,\xbe4d1e137a24af091be80ae58d652279665e3a27,\x2166de15f4a54f23807c78504ab9d5276a8bf08c1653dc3305b4b20e42a06eba
2022-03-02T05:48:00+00:00,100000 DAI,7.869127358490566,\x6b175474e89094c44da98b954eedeac495271d0f,0.01481599331837863200,0.00436370000000000000,421.31477865253555,\x85972458dfbf9269567b2a27c4ffc958a4f24761,\xfacf9f5dfaf9cd54acb57de5f6f5f137171f579142502ebd34cd92fb227b5b93
2022-03-02T05:33:00+00:00,1 ETH,0.2353806146572104,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01853981792083848000,0,0.0281455,\xd6187b4a0f51355a36764558d39b2c21ac12393d,\xaefc111145b80c3bbc6d879146f7c68899933d4eaff437161a6001896ff22625
2022-03-02T05:24:00+00:00,1 ETH,0.23581367924528307,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01742457375539591400,0,0.028398,\x18f516dd6d5f46b2875fd822b994081274be2a8b,\xe1bc7849fb9861ca8502227de1ad0d1cf105f683bb2b9260716e3eedada1d1c7
2022-03-02T05:21:00+00:00,10 ETH,2.3581367924528305,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01551650455690837200,0,0.0733145,\xb5cd48dd89c063b5a3fe1bcc325364be62fc0f00,\xfa8ba875eb134f7b7b958967446eec603c8bc0314ec3cb987476e72390093181
2022-03-02T05:21:00+00:00,1 ETH,0.23581367924528307,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01541375596920127000,0,0.02567,\x18f516dd6d5f46b2875fd822b994081274be2a8b,\xf21b3ff9ad034f797152f4462d2e1f4dadce054796b8b7231f9eea3a5bba65de
2022-03-02T05:17:00+00:00,1 ETH,0.23539240837696332,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01555189242999650000,0,0.035031,\x18f516dd6d5f46b2875fd822b994081274be2a8b,\xf84d4b2eb7fe6f9f3082c47c8be3fbeb3cb92ca431a88a30b2830931fc966de3
2022-03-02T05:16:00+00:00,1 ETH,0.23539240837696332,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.02258083162067940000,0,0.038639,\x18f516dd6d5f46b2875fd822b994081274be2a8b,\xd19ceeef9a0b1b4aa5a9c92af2751ed817be13cba6ea446a7f9c39f5bebc6d4a
2022-03-02T05:06:00+00:00,100000 DAI,7.875043250327654,\x6b175474e89094c44da98b954eedeac495271d0f,0.01821175288824257200,0.00623040000000000000,432.31532467382846,\x20bb3095a4852f4c97d7a188e9f7183c85acfc49,\x44e17a0f953fa2eefcc4a52edb7d100c974d17701d9f14d219d3df51499c57de
2022-03-02T04:50:00+00:00,1 ETH,0.23723167539267015,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01738934314896093000,0,0.033,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x49008b87ab9c840aa1f55b306d6d224218d515b229e6e34fc2bba49976111427
2022-03-02T04:50:00+00:00,1 ETH,0.23723167539267015,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01770847081299847800,0,0.033,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x51b0c15a544f2ab594e132e3f09ec7788a6cd2892ba7467d4a02e93d74a921f6
2022-03-02T04:50:00+00:00,1 ETH,0.23723167539267015,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01769004669644278200,0,0.033,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x09fcd1d668e51a4cafc0669f69f1e396e9d513d82fb9170eccb0f231e5ff947d
2022-03-02T04:43:00+00:00,1 ETH,0.23694670846394986,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01498635838693161000,0,0.033,\x2ca1a9d6c79367ea1ea481fc0a5e8c5bd6c62d25,\x061e8a48a8f9acdc1114c131ac9155aa84e0ac83fbe4016834a4ed488186678b
2022-03-02T04:35:00+00:00,100 ETH,23.76583639223912,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01386485582608376400,0,0.374596,\xd6187b4a0f51355a36764558d39b2c21ac12393d,\x7f139ac1c0804b92a3eca778468c37c481a2bd261efb5133ce89d118bbf74cb5
2022-03-02T04:28:00+00:00,10 ETH,2.3708167539267015,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.01934881214526694200,0,0.0799145,\xb5cd48dd89c063b5a3fe1bcc325364be62fc0f00,\x883f38319a46580286ccaf27147281272f9a3a5a4b5bd9bb05c67a2fefd0fef9
2022-03-02T04:16:00+00:00,100 ETH,23.714524993457207,\xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0.02271969280958988600,0,0.420459,\x6a2d058890cca15beaee5050caaad56b2ab54dd4,\x12bb964baa7114f6f6cede9555118d539794a1fa4bd8afed88007692d6e98be8
