address,name,stakedLQTY,heldLQTY,totalLQTY
0xb3afa5fc650d6bf775468ec122243fff4da1bd4b,,58678.744542787118,-0.0000000000003811,58678.7445427871176189
0x65bdef0e45b652e86973c3408c7cd24dda9d844d,,58314.250461306568,0.000000000000698400000000000000000000,58314.250461306568698400000000000000000000
0xaa900631b9ef6e814a9a338c20a842ab35512d7b,,,58276.066574639845,58276.066574639845
0x28b67e0a4e570720c111c090c45daa065a54e58d,,,58130.37852967591411513300000000000000,58130.37852967591411513300000000000000
0xc05320f54075452ff1a5ce420d64c9d025a452bb,,56838.510000000000,0.0062832105578190,56838.5162832105578190
0xf540d44a74ba8775afa098145879f25be6afd9fd,,52870.671516916711,0.000000000000029400000000000000000000,52870.671516916711029400000000000000000000
0x0211f3cedbef3143223d3acf0e589747933e8527,,,52785.8259297085662426,52785.8259297085662426
0x5b4e7abcd18351f79211b6c9a6d1c3a3d329867d,,50951.239936904065,0.000000000000,50951.239936904065
0x656ab461f4acb07a33f7ede3716af1f2d7250673,,44780.000000000000,6029.587096909703213502000000000000000000,50809.587096909703213502000000000000000000
0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,,50577.055912298155,-0.000000000000101200000000000000000000,50577.055912298154898800000000000000000000
0x3f3750d0b84727f40ee824c70d4bb8c2da3149fe,,49429.280000000000,-0.0000000000000003,49429.2799999999999997
0x0b5305f909b57f483e0b2c9614cc625943c4bc9a,,48583.935562711265,162.122223836567138852000000000000000000,48746.057786547832138852000000000000000000
0xf03639047f75204d00c9314611c2b24570db4405,,48492.956896657399,-0.000000000000000119000000000000000000,48492.956896657398999881000000000000000000
0x1e7c6021d42b521bd97501bbd701ed1583edf3e6,,45025.690257197142,0.000000000000,45025.690257197142
0xa0f75491720835b36edc92d06ddc468d201e9b73,,43898.510687973199,-0.000000000000104317000000000000000000,43898.510687973198895683000000000000000000
0xd4a39d219adb43ab00739dc5d876d98fdf0121bf,,,43763.019387627645,43763.019387627645
0x40ec5b33f54e0e8a33a975908c5ba1c14e5bbbdf,,,43571.04617368515457270000,43571.04617368515457270000
0x28d2979ec37ae409070c31414c35b251b762b09a,,,42790.9343182499094229,42790.9343182499094229
0x4a7fbd795f05dcc7c750475a7180fe003cce5960,,42524.291411016747,-0.000000000000139576000000000000000000,42524.291411016746860424000000000000000000
0x1e5aebcfdc780da4fb506e93a0b398490fd94864,,41016.003903359205,186.373228080597600462000000000000000000,41202.377131439802600462000000000000000000
0x25599b4c5d678299680c84f904001aa7661d77f7,,,40000.000000000000,40000.000000000000
0x1333c53a798547126ca04647ba925485a6fa7aad,,39672.709180421680,0.468401956561357027000000000000000000,39673.177582378241357027000000000000000000
0x30e5d10dc30a0ce2545a4dbe8de4fcba590062c5,,39063.029873279854,543.597079003077603649000000000000000000,39606.626952282931603649000000000000000000
0x27003ba96fbf876018ca6117acf338f0212c811f,,37434.157422438658,0.000000000000103247000000000000000000,37434.157422438658103247000000000000000000
0x6302c5a1a61081ab31b5667b7e863e1aef051195,,37210.183724749753,0.0000000000001192,37210.1837247497531192
