endDate,TVL (ETH),TVL (USD)
2021-05-21T04:45:00+00:00,860529.862098900946036884000000000000000000,2387058205.670625
2021-05-21T05:53:00+00:00,856510.072056487788494984000000000000000000,2382879541.2669134
2021-05-21T06:45:00+00:00,857283.052656487788494984000000000000000000,2352556153.0999336
2021-05-21T07:57:00+00:00,853283.052656487788494984000000000000000000,2301253196.0313883
2021-05-21T08:52:00+00:00,853168.022956487788494984000000000000000000,2307427044.80674
2021-05-21T09:59:00+00:00,853365.325111583373360471000000000000000000,2360271950.806622
2021-05-21T10:58:00+00:00,853264.127572508041563243000000000000000000,2294469902.2488527
2021-05-21T11:59:00+00:00,853348.127572508041563243000000000000000000,2312931831.935077
2021-05-21T12:59:00+00:00,842191.433145479978250804000000000000000000,2242410487.9788237
2021-05-21T13:53:00+00:00,842392.606046318534532804000000000000000000,2296345396.2301435
2021-05-21T14:55:00+00:00,842443.754918197172335621000000000000000000,2140034597.3060486
2021-05-21T15:46:00+00:00,847177.215745448785823972000000000000000000,2100194676.6937551
2021-05-21T16:46:00+00:00,852020.462432421494507472000000000000000000,2119784309.508743
2021-05-21T17:49:00+00:00,853118.159569237012444372000000000000000000,2115408850.8310714
2021-05-21T18:58:00+00:00,853072.058937365995158203000000000000000000,2112675607.561334
2021-05-21T19:58:00+00:00,852925.317772821053969403000000000000000000,2013961377.3378959
2021-05-21T20:54:00+00:00,849492.029300001361389003000000000000000000,1928763157.6053598
2021-05-21T21:57:00+00:00,846895.896984829538015303000000000000000000,2020202410.5855522
2021-05-21T22:59:00+00:00,846885.985508869976887518000000000000000000,2015114389.3592257
2021-05-21T23:58:00+00:00,846819.685508869976887518000000000000000000,2059465475.1575718
2021-05-22T00:58:00+00:00,865145.481496909276800818000000000000000000,2123084314.5030453
2021-05-22T01:56:00+00:00,857228.749496909276800818000000000000000000,2103896519.8902647
2021-05-22T02:46:00+00:00,857230.749496909276800818000000000000000000,2080233287.496655
2021-05-22T03:57:00+00:00,857269.145496909276800818000000000000000000,2000206088.3477535
2021-05-22T04:47:00+00:00,857313.447417536062790218000000000000000000,1928012211.897297
2021-05-22T05:57:00+00:00,857392.242310481861309218000000000000000000,1920267109.4130936
2021-05-22T06:52:00+00:00,857336.989230083728713399000000000000000000,1921000698.2882793
2021-05-22T07:59:00+00:00,857624.908830083728713899000000000000000000,1933541085.7046888
2021-05-22T08:52:00+00:00,859115.814642667750587499000000000000000000,2031740172.364738
2021-05-22T09:56:00+00:00,859098.682815827561193599000000000000000000,2027000387.169804
2021-05-22T10:54:00+00:00,859133.682815827561193599000000000000000000,2115625285.2708037
2021-05-22T11:57:00+00:00,859256.629057416114542745000000000000000000,2078524600.5573084
2021-05-22T12:59:00+00:00,869159.580670603934657845000000000000000000,2086452339.7830114
2021-05-22T13:51:00+00:00,872880.780740776908374674000000000000000000,2141150368.7337034
2021-05-22T14:53:00+00:00,872887.178804346908374674000000000000000000,2065792255.1019435
2021-05-22T15:45:00+00:00,872761.584004346908374594000000000000000000,2074301184.3189712
2021-05-22T16:22:00+00:00,872590.222004346908374594000000000000000000,2067829404.4970212
2021-05-22T17:59:00+00:00,872290.222004346908374594000000000000000000,1998826875.0163007
2021-05-22T18:44:00+00:00,872233.722004346908374594000000000000000000,1989512785.8685951
2021-05-22T19:56:00+00:00,873223.658167962995833119000000000000000000,1980252950.810398
2021-05-22T20:49:00+00:00,873253.790667962995833119000000000000000000,2055656888.3081982
2021-05-22T21:36:00+00:00,873611.643957484528864119000000000000000000,2063802675.4522824
2021-05-22T22:47:00+00:00,873636.352350013090542126000000000000000000,2041574582.716175
2021-05-22T23:16:00+00:00,873640.352350013090542126000000000000000000,2064211215.3220403
2021-05-23T00:57:00+00:00,873504.852350013090542126000000000000000000,2064284137.1705978
2021-05-23T02:57:00+00:00,873519.852350013090542126000000000000000000,2008580283.6921434
2021-05-23T03:07:00+00:00,873574.852350013090542126000000000000000000,2005107622.8504615
