hour,totalLusdPaid,totalLusdClaimed,totalEthPaid,totalEthClaimed
2021-11-26T11:00:00+00:00,20725453.556442033977246822000000000000000000,18740375.723109830500689680000000000000000000,969.068314878916588555000000,834.709611571665365019000000000000000000
2021-11-26T12:00:00+00:00,20732933.798570222856838822000000000000000000,18741865.476630189212537780000000000000000000,969.068314878916588555000000,834.766471671136529462000000000000000000
2021-11-26T13:00:00+00:00,20745036.530584234926559422000000000000000000,18742150.405171173365244680000000000000000000,969.068314878916588555000000,834.791769136714423345000000000000000000
2021-11-26T14:00:00+00:00,20750495.260727278202979522000000000000000000,18742945.183735842256095080000000000000000000,969.068314878916588555000000,834.803146769517034709000000000000000000
2021-11-26T15:00:00+00:00,20750495.260727278202979522000000000000000000,18749108.159827491367369380000000000000000000,969.068314878916588555000000,834.819159977091997116000000000000000000
2021-11-26T16:00:00+00:00,20751870.618607390963860422000000000000000000,18749108.159827491367369380000000000000000000,969.068314878916588555000000,834.819159977091997116000000000000000000
2021-11-26T17:00:00+00:00,20751870.618607390963860422000000000000000000,18753173.428472472019775380000000000000000000,969.068314878916588555000000,835.031160283525023249000000000000000000
2021-11-26T18:00:00+00:00,20751945.637782437435655422000000000000000000,18760592.686216293324597880000000000000000000,969.068314878916588555000000,835.826599880614590452000000000000000000
2021-11-26T19:00:00+00:00,20751945.637782437435655422000000000000000000,18761324.052188552760228680000000000000000000,969.068314878916588555000000,835.827500032139890903000000000000000000
2021-11-26T20:00:00+00:00,20786549.250962812573059022000000000000000000,18763744.321647004362261180000000000000000000,969.068314878916588555000000,835.828002928447646490000000000000000000
2021-11-26T21:00:00+00:00,20787177.687556254032487322000000000000000000,18763744.321647004362261180000000000000000000,969.068314878916588555000000,835.828002928447646490000000000000000000
2021-11-26T22:00:00+00:00,20792253.599934681974331122000000000000000000,18763744.321647004362261180000000000000000000,969.068314878916588555000000,835.828002928447646490000000000000000000
2021-11-26T23:00:00+00:00,20792253.599934681974331122000000000000000000,18763744.321647004362261180000000000000000000,969.068314878916588555000000,835.828002928447646490000000000000000000
2021-11-27T00:00:00+00:00,20792253.599934681974331122000000000000000000,18764100.992630722777521880000000000000000000,969.068314878916588555000000,835.836445636426254645000000000000000000
2021-11-27T01:00:00+00:00,20792253.599934681974331122000000000000000000,18764113.647185918557555180000000000000000000,969.068314878916588555000000,835.836448608065634857000000000000000000
2021-11-27T02:00:00+00:00,20793503.770111605007070522000000000000000000,18764113.647185918557555180000000000000000000,969.068314878916588555000000,835.836448608065634857000000000000000000
2021-11-27T03:00:00+00:00,20794503.902880195800006922000000000000000000,18765580.306116302964595780000000000000000000,969.068314878916588555000000,835.843522425956845220000000000000000000
2021-11-27T04:00:00+00:00,20794503.902880195800006922000000000000000000,18765768.621794054268132880000000000000000000,969.068314878916588555000000,835.859372265535426197000000000000000000
2021-11-27T05:00:00+00:00,20795003.971121258464406922000000000000000000,18765768.621794054268132880000000000000000000,969.068314878916588555000000,835.859372265535426197000000000000000000
2021-11-27T06:00:00+00:00,20795003.971121258464406922000000000000000000,18766054.579183920392125780000000000000000000,969.068314878916588555000000,835.859372265535426197000000000000000000
2021-11-27T08:00:00+00:00,20796504.112889723294316522000000000000000000,18766486.800765068461852680000000000000000000,969.068314878916588555000000,835.879115662111277896000000000000000000
