hour,lusdIn,lusdOut,virtualLiquidity
2021-12-09T16:00:00+00:00,104863.176272104872,-245681.341345782599,136607.279498244338
2021-12-09T17:00:00+00:00,165752.776165119340,-151829.676174885614,136607.279498244338
2021-12-09T18:00:00+00:00,81653.756899077524,0,136607.279498244338
2021-12-09T19:00:00+00:00,52342.520100275465,-41265.310265759260,136607.279498244338
2021-12-09T20:00:00+00:00,,,136607.279498244338
2021-12-09T21:00:00+00:00,110000.000212921794,-38785.100157619892,155658.991448572111
2021-12-09T22:00:00+00:00,0,-68959.5868385676808620,136607.279498244338
2021-12-09T23:00:00+00:00,,,136607.279498244338
2021-12-10T00:00:00+00:00,0,-159565.190131881202,136607.279498244338
2021-12-10T01:00:00+00:00,,,136607.279498244338
2021-12-10T02:00:00+00:00,54010.3317314239931816,0,136607.279498244338
2021-12-10T03:00:00+00:00,,,136607.279498244338
2021-12-10T04:00:00+00:00,390296.731046618660,-399621.682428822005,136607.279498244338
2021-12-10T05:00:00+00:00,0,-11848.499310675023,136607.279498244338
2021-12-10T06:00:00+00:00,,,136607.279498244338
2021-12-10T07:00:00+00:00,69825.000000000000,0,136607.279498244338
2021-12-10T08:00:00+00:00,,,136607.279498244338
2021-12-10T09:00:00+00:00,65223.4560386123128477,0,136678.148694531959
2021-12-10T10:00:00+00:00,,,136678.148694531959
2021-12-10T11:00:00+00:00,0,-113820.113415626441,136678.148694531959
2021-12-10T12:00:00+00:00,2499.9368052707352824,-95936.5904757195745918,136678.148694531959
2021-12-10T13:00:00+00:00,170037.188421321804,-13740.4296820242328266,136678.148694531959
2021-12-10T14:00:00+00:00,0,-35764.032522000001,136678.148694531959
2021-12-10T15:00:00+00:00,4644.8887117276931394,-5632.8721051552725674,136678.148694531959
2021-12-10T16:00:00+00:00,240151.140104325487,-170598.9711837910778460,140173.229285431016
2021-12-10T17:00:00+00:00,,,140173.229285431016
2021-12-10T18:00:00+00:00,,,140173.229285431016
2021-12-10T19:00:00+00:00,243044.972551715025,-341975.539689305845,136678.148694531959
2021-12-10T20:00:00+00:00,4345.6007966935372487,0,136678.148694531959
2021-12-10T21:00:00+00:00,3000.0074642821639592,0,136678.148694531959
2021-12-10T22:00:00+00:00,224873.849687989694,-149170.204360878673,146204.004669695846
2021-12-10T23:00:00+00:00,476205.378879245270,-406640.775483962267,108331.2519287219647559
2021-12-11T00:00:00+00:00,161200.9799767991129106,-282696.8845570740432958,136678.148694531959
2021-12-11T01:00:00+00:00,0,-48942.149013000002,136678.148694531959
2021-12-11T02:00:00+00:00,0,-9634.6002142900217314,136678.148694531959
2021-12-11T03:00:00+00:00,0,-34453.4414851963639995,136678.148694531959
2021-12-11T04:00:00+00:00,9495.4512824570399513,0,136678.148694531959
2021-12-11T05:00:00+00:00,,,136678.148694531959
2021-12-11T06:00:00+00:00,34771.438012855147,0,136678.148694531959
2021-12-11T07:00:00+00:00,,,136678.148694531959
2021-12-11T08:00:00+00:00,,,136678.148694531959
2021-12-11T09:00:00+00:00,0,-657.0490014899999867,136678.148694531959
2021-12-11T10:00:00+00:00,0,-1894.8403446162441172,136678.148694531959
2021-12-11T11:00:00+00:00,170855.244604025070,-6189.4750979574844740,136678.148694531959
2021-12-11T12:00:00+00:00,0,-83508.0061293021723949,136678.148694531959
2021-12-11T13:00:00+00:00,194394.843309051708,-303340.4570570210016147,136678.148694531959
2021-12-11T14:00:00+00:00,247.1307286152289941,0,136678.148694531959
2021-12-11T15:00:00+00:00,13975.0000000000000000,0,136678.148694531959
2021-12-11T16:00:00+00:00,,,136678.148694531959
2021-12-11T17:00:00+00:00,69438.865716774973,0,136678.148694531959
2021-12-11T18:00:00+00:00,0,-53208.474330446524,136678.148694531959
2021-12-11T19:00:00+00:00,1972.9209075959542284,0,136678.148694531959
2021-12-11T20:00:00+00:00,0,-87551.253059194326,136678.148694531959
2021-12-11T21:00:00+00:00,227670.2900116424907206,-131533.195803490066,136678.148694531959
2021-12-11T22:00:00+00:00,,,136678.148694531959
2021-12-11T23:00:00+00:00,0,-63621.058723898652,136678.148694531959
2021-12-12T00:00:00+00:00,5453.8589346485519688,-49974.480495452299,136678.148694531959
2021-12-12T01:00:00+00:00,,,136678.148694531959
