hour,totalLQTYStaked,totalLQTYClaimed
2021-08-27T11:00:00+00:00,7482490.640400288369,8782994.601190450787933456000000000000000000
2021-08-27T12:00:00+00:00,,8783153.262872216900869956000000000000000000
2021-08-27T13:00:00+00:00,7480611.066509007458,8783548.669556613926020209000000000000000000
2021-08-27T15:00:00+00:00,7475457.629842752908,8784443.737221966995417909000000000000000000
2021-08-27T16:00:00+00:00,7471308.199816921328,8784452.487304322163020382000000000000000000
2021-08-27T19:00:00+00:00,7476208.669791089748,8784452.487304322163020382000000000000000000
2021-08-27T20:00:00+00:00,,8788366.531976881200229682000000000000000000
2021-08-27T21:00:00+00:00,7485654.649589401092,8788368.205952152613911382000000000000000000
2021-08-27T22:00:00+00:00,7490195.929078710967,8794012.082038651418000482000000000000000000
2021-08-27T23:00:00+00:00,7440970.815605385093,8794224.171800260572100074000000000000000000
2021-08-28T00:00:00+00:00,,8794297.761495892620941474000000000000000000
2021-08-28T01:00:00+00:00,,8794400.859596874460293974000000000000000000
2021-08-28T02:00:00+00:00,7440870.815605385093,8796045.192611727534982474000000000000000000
2021-08-28T03:00:00+00:00,7441005.878697329736,8796045.192611727534982474000000000000000000
2021-08-28T04:00:00+00:00,7440805.878697329736,8796617.323625348135276574000000000000000000
2021-08-28T07:00:00+00:00,7437223.512510282041,8799928.227518211842696774000000000000000000
2021-08-28T08:00:00+00:00,7446121.843031860139,8800968.105067119598191774000000000000000000
2021-08-28T09:00:00+00:00,,8810813.839728416649768174000000000000000000
2021-08-28T10:00:00+00:00,7447187.512778837647,8815170.655666359053970574000000000000000000
2021-08-28T11:00:00+00:00,7450619.277777918046,8816379.881391663306800974000000000000000000
2021-08-28T12:00:00+00:00,7452434.209338570348,8819106.110562467218746074000000000000000000
2021-08-28T13:00:00+00:00,7453539.682671903681,8831292.870443518877060174000000000000000000
2021-08-28T14:00:00+00:00,7456353.380466732711,8834501.389672865458524174000000000000000000
2021-08-28T15:00:00+00:00,7459521.431311750231,8834845.512792241735215316000000000000000000
2021-08-28T16:00:00+00:00,,8835026.553886495561519116000000000000000000
2021-08-28T17:00:00+00:00,7460016.453178449920,8835397.575576545769101616000000000000000000
2021-08-28T18:00:00+00:00,7463718.433178449923,8835397.575576545769101616000000000000000000
2021-08-28T19:00:00+00:00,7463499.283317923076,8841023.241541184798228816000000000000000000
2021-08-28T20:00:00+00:00,7471349.193457396228,8846547.152609435418067316000000000000000000
2021-08-28T21:00:00+00:00,,8846595.166693625045554870000000000000000000
2021-08-28T22:00:00+00:00,7481953.323457396228,8846595.166693625045554870000000000000000000
2021-08-28T23:00:00+00:00,7483104.633248023085,8846595.166693625045554870000000000000000000
2021-08-29T00:00:00+00:00,7484954.011190120048,8848519.544635722008488570000000000000000000
2021-08-29T01:00:00+00:00,,8849106.507480614061388470000000000000000000
2021-08-29T02:00:00+00:00,,8849304.476112183927704270000000000000000000
2021-08-29T03:00:00+00:00,7484854.011190120048,8849323.462751566737850870000000000000000000
2021-08-29T05:00:00+00:00,7484779.976648830137,8849352.762839656281207970000000000000000000
2021-08-29T06:00:00+00:00,,8849354.696817630868639770000000000000000000
2021-08-29T07:00:00+00:00,7506558.195634068929,8850230.103451173954850570000000000000000000
2021-08-29T08:00:00+00:00,7517787.966827834239,8850606.791565476917346570000000000000000000
2021-08-29T09:00:00+00:00,7515610.792335819110,8850732.413837728753364970000000000000000000
2021-08-29T10:00:00+00:00,7514077.712335819110,8850828.413708592035679570000000000000000000
2021-08-29T11:00:00+00:00,7519074.548959466622,8851798.268993742662004170000000000000000000
2021-08-29T12:00:00+00:00,7517409.863959466622,8851807.113349810853260855000000000000000000
2021-08-29T13:00:00+00:00,7517477.178959466622,8851807.113349810853260855000000000000000000
2021-08-29T15:00:00+00:00,7519994.159965906284,8856800.718370766516252155000000000000000000
2021-08-29T17:00:00+00:00,,8857027.959905671219402922000000000000000000
2021-08-29T20:00:00+00:00,,8858085.236332946695163422000000000000000000
2021-08-29T21:00:00+00:00,,8858120.781496943229075422000000000000000000
2021-08-29T23:00:00+00:00,,8858508.803683503168323822000000000000000000
2021-08-30T00:00:00+00:00,7522440.286889474571,8858576.943888646686686522000000000000000000
2021-08-30T01:00:00+00:00,7522340.123823639913,8858576.943888646686686522000000000000000000
2021-08-30T02:00:00+00:00,7521046.920919603777,8859266.226558878707580822000000000000000000
2021-08-30T03:00:00+00:00,,8860396.497140491723132322000000000000000000
2021-08-30T06:00:00+00:00,7574097.172863468396,8923732.507567560208426022000000000000000000
2021-08-30T07:00:00+00:00,,8923818.393944054964623622000000000000000000
2021-08-30T08:00:00+00:00,7629605.209807333015,8925656.080013720759970422000000000000000000
2021-08-30T09:00:00+00:00,,8932357.443402572571943602000000000000000000
2021-08-30T11:00:00+00:00,7630743.563140666348,8932370.476617938881513002000000000000000000
2021-08-30T12:00:00+00:00,7632656.409807333015,8932580.495497881537975521000000000000000000
2021-08-30T13:00:00+00:00,,8933680.814880934609814021000000000000000000
