evt_block_time,torn_balance,torn_price,tvl
2022-03-03T10:46:00+00:00,378762.89174014153107430000,47.06,17824581.685291063
2022-03-03T11:32:00+00:00,378795.22437438384457200000,46.15,17481399.604877815
2022-03-03T11:39:00+00:00,378870.22032161767972730000,45.97,17416664.028184764
2022-03-03T12:41:00+00:00,378715.22032161767972730000,47.53,18000334.42188649
2022-03-03T12:57:00+00:00,378515.22032161767972730000,47.45,17960547.20426076
2022-03-03T13:21:00+00:00,378578.54662723778927910000,46.77,17706118.625755914
2022-03-03T14:13:00+00:00,372578.54662723778927910000,54,20119241.517870843
2022-03-03T14:54:00+00:00,372884.80461923778927910000,51.2,19091701.996504974
2022-03-03T15:28:00+00:00,372859.80461923778927910000,50.46,18814505.74108674
2022-03-03T16:01:00+00:00,372892.62461923778927910000,50.35,18775143.649578623
2022-03-03T16:33:00+00:00,369885.64531923778927910000,57.2,21157458.912260402
2022-03-03T16:49:00+00:00,369316.30606923778927910000,56.88,21006711.489218246
2022-03-03T17:15:00+00:00,368400.40606923778927910000,58.37,21503531.70226141
2022-03-03T17:34:00+00:00,368350.17053923778927910000,61.62,22697737.508627832
2022-03-03T18:13:00+00:00,368602.24053923778927910000,59.7,22005553.7601925
2022-03-03T18:24:00+00:00,368702.24053923778927910000,60.01,22125821.45475966
2022-03-03T18:34:00+00:00,368836.69231523778927910000,58.39,21536374.464286733
2022-03-03T20:09:00+00:00,369135.97701523778927910000,66.4,24510628.873811793
2022-03-03T20:10:00+00:00,369085.23701523778927910000,66.4,24507259.737811793
2022-03-03T20:15:00+00:00,369037.23701523778927910000,64.44,23780759.553261925
2022-03-03T20:34:00+00:00,368995.11701523778927910000,65.12,24028962.020032287
2022-03-03T20:46:00+00:00,370722.61822523778927910000,62.83,23292502.103091687
2022-03-03T20:52:00+00:00,370759.20922523778927910000,62.32,23105713.918916818
2022-03-03T20:57:00+00:00,370630.40335523778927910000,61.77,22893840.01525304
2022-03-03T20:58:00+00:00,370634.86804930930303410000,61.77,22894115.799405836
2022-03-03T21:10:00+00:00,370585.16311930930303410000,59.95,22216580.529002592
2022-03-03T21:17:00+00:00,367372.67077549533742920000,59.19,21744788.38320157
2022-03-03T21:21:00+00:00,367296.67077549533742920000,59.3,21780692.57698687
2022-03-03T21:35:00+00:00,366296.67077549533742920000,58.36,21377073.70645791
2022-03-03T21:56:00+00:00,366250.31053549533742920000,57.81,21172930.452056985
2022-03-03T22:42:00+00:00,371012.21553549533742920000,58.63,21752446.19684609
2022-03-03T23:20:00+00:00,375774.12053549533742920000,60.77,22835793.304942053
2022-03-04T00:33:00+00:00,375811.44053549533742920000,57.06,21443800.796955366
2022-03-04T00:36:00+00:00,375812.44053549533742920000,57.35,21552843.46471066
