hour,eoa,otherContract,stabilityPool,uniswapV2,uniswapV3,curve,d4
2021-07-15T01:00:00+00:00,2058980.338238410615393073000000000000000000,695828.030901860970715298000000000000000000,652715718.087646485445285060000000000000000000,38750.1954227972121339520000000000,1129871.981438695610061679000000,91397390.933031046317157749000000000000000000,2022263.307052080075007100000000000000000000
2021-07-15T02:00:00+00:00,2027611.163881599031715473000000000000000000,695967.924634329585545898000000000000000000,652711220.725708658714597060000000000000000000,38750.1954227972121339520000000000,1134369.343376522340749679000000,91396691.464368703243004749000000000000000000,2054192.056338766118007100000000000000000000
2021-07-15T03:00:00+00:00,2067059.844850512397059473000000000000000000,696213.259797124300977998000000000000000000,652712443.296321389526845860000000000000000000,38060.3376704423135257520000000000,1131724.142237583780990879000000,91400011.504699468077549949000000000000000000,2062735.599884746994259600000000000000000000
2021-07-15T04:00:00+00:00,2027975.763940793785046873000000000000000000,696243.297925879635161698000000000000000000,652712443.296321389526845860000000000000000000,38060.3376704423135257520000000000,1177901.664610222058963979000000,91398917.912002311559222649000000000000000000,2062735.599884746994259600000000000000000000
2021-07-15T05:00:00+00:00,2022915.393222639317500773000000000000000000,696236.723169562308784798000000000000000000,652712452.465748098375914760000000000000000000,38060.3376704423135257520000000000,1209137.275589775650854179000000,91376837.425857836237222649000000000000000000,2068687.292581903512586900000000000000000000
2021-07-15T06:00:00+00:00,2022914.580771653206920147000000000000000000,696241.675412487549158724000000000000000000,652712452.465748098375914760000000000000000000,38060.3376704423135257520000000000,1195606.096459301107790979000000,91391360.401471841831222649000000000000000000,2068687.292581903512586900000000000000000000
2021-07-15T07:00:00+00:00,2022080.319708226750866347000000000000000000,696185.360758804802021024000000000000000000,652712450.519074094399339560000000000000000000,38512.0765538866109949520000000000,1196256.390759301107790979000000,91393260.401471841831222649000000000000000000,2068687.292581903512586900000000000000000000
2021-07-15T08:00:00+00:00,2024324.132067495434042666000000000000000000,696153.929344760999324705000000000000000000,652712450.519074094399339560000000000000000000,38512.0726200475773062340000000000,1196256.390759301107790979000000,91391046.073852612974167449000000000000000000,2068689.243189746522850818000000000000000000
2021-07-15T09:00:00+00:00,2022133.454482669727090166000000000000000000,696153.167476507213094705000000000000000000,652712450.519074094399339560000000000000000000,38512.0726200475773062340000000000,1197966.352228433668252279000000,91391046.073852612974167449000000000000000000,2068689.243189746522850818000000000000000000
2021-07-15T10:00:00+00:00,2023714.036817415956667524000000000000000000,696140.587776146738179305000000000000000000,652712450.519074094399339560000000000000000000,38512.0726200475773062340000000000,1139790.794251325370136521000000,91449221.401910222426167449000000000000000000,2068689.243189746522850818000000000000000000
2021-07-15T11:00:00+00:00,2033737.319328749869471324000000000000000000,696116.400048106390640305000000000000000000,652702490.370773833505502560000000000000000000,38211.6034934212413190340000000000,1123275.993990703181175121000000,91512257.417580877089167449000000000000000000,2026851.465718538507850818000000000000000000
2021-07-15T12:00:00+00:00,2032312.426795592431010824000000000000000000,697033.013769556933459205000000000000000000,652702490.370773833505502560000000000000000000,38211.6034934212413190340000000000,1059738.385460191905765621000000,91714012.574911161807167449000000000000000000,2026851.465718538507850818000000000000000000
2021-07-15T13:00:00+00:00,2022108.879017535474697424000000000000000000,697038.519239177530635305000000000000000000,652702490.370773833505502560000000000000000000,38211.6034934212413190340000000000,1050788.375166295822679021000000,91714012.574911161807167449000000000000000000,2037104.995078300405850818000000000000000000
2021-07-15T14:00:00+00:00,3271579.006294496833872024000000000000000000,696986.756256093722235005000000000000000000,652602131.099688422391728260000000000000000000,38211.6034934212413190340000000000,1050788.375166295822679021000000,90564953.481702695370167449000000000000000000,2037104.995078300405850818000000000000000000
2021-07-15T15:00:00+00:00,1972982.474827510446648224000000000000000000,696986.756256093722235005000000000000000000,652602131.099688422391728260000000000000000000,38211.6034934212413190340000000000,1050794.041736234148902821000000,91493690.057886051695167449000000000000000000,2406959.283791992141850818000000000000000000
2021-07-15T16:00:00+00:00,1973004.401464869789048024000000000000000000,696964.948009621553835205000000000000000000,652602131.099688422391728260000000000000000000,38211.6034934212413190340000000000,1021196.319942736636902821000000,91523287.661288662033167449000000000000000000,2406959.283791992141850818000000000000000000
2021-07-15T17:00:00+00:00,1971431.202689042711969324000000000000000000,696936.094138129973328205000000000000000000,652602131.099688422391728260000000000000000000,38210.9937412766787783710000000000,1022798.372590055294488521000000,91523287.661288662033167449000000000000000000,2406959.893544136704391481000000000000000000
2021-07-15T18:00:00+00:00,1976004.182293582692004624000000000000000000,696488.631445064526411405000000000000000000,652602131.099688422391728260000000000000000000,38210.9937412766787783710000000000,1012507.631075450159648621000000,91578938.785040187091167449000000000000000000,2351744.116297035000227281000000000000000000
2021-07-15T19:00:00+00:00,1996597.609993288660535324000000000000000000,696586.563773880315882805000000000000000000,652602131.099688422391728260000000000000000000,38210.9937412766787783710000000000,1012507.631075450159648621000000,91591771.981434908282723149000000000000000000,2363443.701703356554694281000000000000000000
2021-07-15T20:00:00+00:00,1992592.247045168118535324000000000000000000,696586.563773880315882805000000000000000000,652552131.102636542933728260000000000000000000,38210.9937412766787783710000000000,1012507.631075450159648621000000,91595771.981434908282723149000000000000000000,2363443.701703356554694281000000000000000000
2021-07-15T21:00:00+00:00,2041929.359138707563019547000000000000000000,696593.852398737207412582000000000000000000,652553291.082636542933728260000000000000000000,38210.9937412766787783710000000000,856615.835525981980131721000000,91550047.342081957258214149000000000000000000,2513938.143495902626694281000000000000000000
2021-07-15T22:00:00+00:00,1997364.702706327449019547000000000000000000,696454.992541774819228682000000000000000000,652553291.082636542933728260000000000000000000,38210.9937412766787783710000000000,891754.411240718646315621000000,91550047.342081957258214149000000000000000000,2523503.084070508462694281000000000000000000
2021-07-15T23:00:00+00:00,1997359.397054396011875447000000000000000000,696454.992541774819228682000000000000000000,652553291.082636542933728260000000000000000000,38210.9937412766787783710000000000,800965.147203939542315621000000,91546077.867733888695358249000000000000000000,2523503.084070508462694281000000000000000000
2021-07-16T00:00:00+00:00,1996366.397054396011875447000000000000000000,696454.992541774819228682000000000000000000,652553291.082636542933728260000000000000000000,38210.9937412766787783710000000000,801958.147203939542315621000000,91546077.867733888695358249000000000000000000,2523503.084070508462694281000000000000000000
