hour,lusdSupply
2021-04-09T04:00:00+00:00,259179811.908000000011066420000000000000000000
2021-04-09T05:00:00+00:00,259973811.908000000011474420000000000000000000
2021-04-09T06:00:00+00:00,260086811.908000000011384920000000000000000000
2021-04-09T07:00:00+00:00,260481111.908000000012225720000000000000000000
2021-04-09T08:00:00+00:00,260689915.908000000012300320000000000000000000
2021-04-09T09:00:00+00:00,261079915.908000000012976920000000000000000000
2021-04-09T10:00:00+00:00,261855615.908000000013419720000000000000000000
2021-04-09T11:00:00+00:00,261890895.908000000014295320000000000000000000
2021-04-09T12:00:00+00:00,263028895.908000000013887320000000000000000000
2021-04-09T13:00:00+00:00,262962395.908000000014315220000000000000000000
2021-04-09T14:00:00+00:00,262982095.908000000014643620000000000000000000
2021-04-09T15:00:00+00:00,263012095.908000000014225720000000000000000000
2021-04-09T16:00:00+00:00,263003995.908000000014225720000000000000000000
2021-04-09T17:00:00+00:00,262982995.908000000014225720000000000000000000
2021-04-09T18:00:00+00:00,263508495.908000000014295420000000000000000000
2021-04-09T19:00:00+00:00,263689495.908000000014335220000000000000000000
2021-04-09T20:00:00+00:00,263857495.908000000014504320000000000000000000
2021-04-09T21:00:00+00:00,266390495.908000000013981920000000000000000000
2021-04-09T22:00:00+00:00,266101495.908000000013981920000000000000000000
2021-04-09T23:00:00+00:00,263613495.908000000013981920000000000000000000
2021-04-10T00:00:00+00:00,263911718.908000000013275420000000000000000000
2021-04-10T01:00:00+00:00,263869268.908000000013275420000000000000000000
2021-04-10T02:00:00+00:00,258869268.908000000013275420000000000000000000
2021-04-10T03:00:00+00:00,258879268.908000000013275420000000000000000000
2021-04-10T04:00:00+00:00,259054595.408000000013205720000000000000000000
2021-04-10T05:00:00+00:00,259155601.408000000012588720000000000000000000
2021-04-10T06:00:00+00:00,259254601.408000000012145820000000000000000000
2021-04-10T07:00:00+00:00,259166784.408000000012319920000000000000000000
2021-04-10T08:00:00+00:00,259311784.408000000012076120000000000000000000
2021-04-10T09:00:00+00:00,261021784.408000000012837320000000000000000000
2021-04-10T10:00:00+00:00,263479284.408000000013678220000000000000000000
2021-04-10T11:00:00+00:00,263985284.408000000014046420000000000000000000
2021-04-10T12:00:00+00:00,265255784.408000000013981720000000000000000000
2021-04-10T13:00:00+00:00,268661134.408000000013673220000000000000000000
2021-04-10T14:00:00+00:00,269909134.408000000012742820000000000000000000
2021-04-10T15:00:00+00:00,270948657.408000000012300120000000000000000000
2021-04-10T16:00:00+00:00,270744457.408000000012354820000000000000000000
2021-04-10T17:00:00+00:00,271131457.408000000012504020000000000000000000
2021-04-10T18:00:00+00:00,270840965.408000000012872220000000000000000000
2021-04-10T19:00:00+00:00,269383965.408000000012449320000000000000000000
2021-04-10T20:00:00+00:00,269174222.408000000012504020000000000000000000
2021-04-10T21:00:00+00:00,269009222.408000000012504020000000000000000000
2021-04-10T22:00:00+00:00,269288222.408000000011926920000000000000000000
2021-04-10T23:00:00+00:00,269549222.408000000012310020000000000000000000
2021-04-11T00:00:00+00:00,269912152.408000000013195520000000000000000000
2021-04-11T01:00:00+00:00,269703152.408000000012867220000000000000000000
2021-04-11T02:00:00+00:00,269867152.408000000013116020000000000000000000
2021-04-11T03:00:00+00:00,269938207.408000000013389620000000000000000000
2021-04-11T04:00:00+00:00,269899417.408000000013389620000000000000000000
2021-04-11T05:00:00+00:00,263887087.538000000013718020000000000000000000
2021-04-11T06:00:00+00:00,264003087.538000000013305120000000000000000000
2021-04-11T07:00:00+00:00,265025070.538000000013096120000000000000000000
2021-04-11T08:00:00+00:00,265215170.538000000013633520000000000000000000
2021-04-11T09:00:00+00:00,266803170.538000000012693220000000000000000000
2021-04-11T10:00:00+00:00,267178270.538000000011678320000000000000000000
2021-04-11T11:00:00+00:00,267211060.538000000012106220000000000000000000
2021-04-11T12:00:00+00:00,267309560.538000000012225720000000000000000000
2021-04-11T13:00:00+00:00,267411560.538000000012141120000000000000000000
2021-04-11T14:00:00+00:00,274628160.538000000012200820000000000000000000
2021-04-11T15:00:00+00:00,274642670.538000000012200820000000000000000000
2021-04-11T16:00:00+00:00,274898870.538000000011141120000000000000000000
2021-04-11T17:00:00+00:00,275146370.538000000011061520000000000000000000
2021-04-11T18:00:00+00:00,275912795.538000000009957120000000000000000000
2021-04-11T19:00:00+00:00,276699268.038000000009161120000000000000000000
2021-04-11T20:00:00+00:00,276785548.298000000009718420000000000000000000
2021-04-11T21:00:00+00:00,276680548.298000000009718420000000000000000000
2021-04-11T22:00:00+00:00,276549548.298000000009882620000000000000000000
2021-04-11T23:00:00+00:00,276033048.298000000010479720000000000000000000
2021-04-12T00:00:00+00:00,276033048.298000000010479719000000000000000000
2021-04-12T01:00:00+00:00,277437453.648000000010101619000000000000000000
2021-04-12T02:00:00+00:00,277852453.648000000010206019000000000000000000
2021-04-12T03:00:00+00:00,277917453.648000000010295619000000000000000000
2021-04-12T04:00:00+00:00,279698453.648000000009837919000000000000000000
2021-04-12T05:00:00+00:00,280183653.648000000010469719000000000000000000
2021-04-12T06:00:00+00:00,280206653.648000000010191119000000000000000000
2021-04-12T07:00:00+00:00,280862652.648000000010768219000000000000000000
2021-04-12T08:00:00+00:00,281823672.648000000010698519000000000000000000
2021-04-12T09:00:00+00:00,296094672.648000000010992019000000000000000000
2021-04-12T10:00:00+00:00,295784672.648000000010628819000000000000000000
2021-04-12T11:00:00+00:00,295789672.648000000010628819000000000000000000
2021-04-12T12:00:00+00:00,296871671.648000000010111319000000000000000000
2021-04-12T13:00:00+00:00,298368358.648000000010922319000000000000000000
2021-04-12T14:00:00+00:00,298473058.648000000011399919000000000000000000
2021-04-12T15:00:00+00:00,298115733.648000000011200919000000000000000000
2021-04-12T16:00:00+00:00,298642733.648000000011121319000000000000000000
2021-04-12T17:00:00+00:00,298901523.648000000011285519000000000000000000
2021-04-12T18:00:00+00:00,299636523.648000000011046719000000000000000000
2021-04-12T19:00:00+00:00,304353523.648000000011544219000000000000000000
2021-04-12T20:00:00+00:00,305523523.648000000011464519000000000000000000
2021-04-12T21:00:00+00:00,314423523.648000000009792919000000000000000000
2021-04-12T22:00:00+00:00,316230520.648000000010111419000000000000000000
2021-04-12T23:00:00+00:00,316771920.648000000010434819000000000000000000
2021-04-13T00:00:00+00:00,316977220.648000000009982119000000000000000000
2021-04-13T01:00:00+00:00,318455978.357999999969758319000000000000000000
2021-04-13T02:00:00+00:00,325345978.357999999969614019000000000000000000
2021-04-13T03:00:00+00:00,325750478.357999999970280619000000000000000000
2021-04-13T04:00:00+00:00,326438466.359199999970131319000000000000000000
2021-04-13T05:00:00+00:00,326957026.179199999970260719000000000000000000
2021-04-13T06:00:00+00:00,327184358.179199999970235819000000000000000000
2021-04-13T07:00:00+00:00,328202351.929199999970046719000000000000000000
2021-04-13T08:00:00+00:00,328115351.929199999969917319000000000000000000
2021-04-13T09:00:00+00:00,330207151.929199999968887219000000000000000000
2021-04-13T10:00:00+00:00,330613151.929199999969718019000000000000000000
2021-04-13T11:00:00+00:00,335663151.929199999968683219000000000000000000
2021-04-13T12:00:00+00:00,335703151.929199999968792719000000000000000000
2021-04-13T13:00:00+00:00,336700651.929199999968897119000000000000000000
2021-04-13T14:00:00+00:00,339057876.930199999969912019000000000000000000
2021-04-13T15:00:00+00:00,339748721.580199999969688119000000000000000000
2021-04-13T16:00:00+00:00,345594721.580199999969499119000000000000000000
2021-04-13T17:00:00+00:00,353953221.580199999969593619000000000000000000
2021-04-13T18:00:00+00:00,354849532.040199999970752719000000000000000000
2021-04-13T19:00:00+00:00,357377532.040199999970504019000000000000000000
2021-04-13T20:00:00+00:00,357950732.040199999969817519000000000000000000
2021-04-13T21:00:00+00:00,358583732.040199999970439519000000000000000000
2021-04-13T22:00:00+00:00,358741767.040199999970290319000000000000000000
2021-04-13T23:00:00+00:00,363959217.040199999970419719000000000000000000
2021-04-14T00:00:00+00:00,366280508.190199999969559019000000000000000000
2021-04-14T01:00:00+00:00,366287508.190199999969559019000000000000000000
2021-04-14T02:00:00+00:00,369295778.190199999970484419000000000000000000
2021-04-14T03:00:00+00:00,369779778.190199999969952019000000000000000000
2021-04-14T04:00:00+00:00,370316278.190199999969678419000000000000000000
2021-04-14T05:00:00+00:00,377560866.450199999970195819000000000000000000
2021-04-14T06:00:00+00:00,382375124.230199999970514219000000000000000000
2021-04-14T07:00:00+00:00,382836924.230199999969728219000000000000000000
2021-04-14T08:00:00+00:00,388638024.230199999969459619000000000000000000
2021-04-14T09:00:00+00:00,398477349.230199999969235819000000000000000000
2021-04-14T10:00:00+00:00,400560352.230199999970116319000000000000000000
2021-04-14T11:00:00+00:00,412917382.230199999971360119000000000000000000
2021-04-14T12:00:00+00:00,413519932.230199999971514419000000000000000000
2021-04-14T13:00:00+00:00,414906732.230199999971783119000000000000000000
2021-04-14T14:00:00+00:00,414847371.060199999971196019000000000000000000
2021-04-14T15:00:00+00:00,415149190.060199999971220819000000000000000000
2021-04-14T16:00:00+00:00,415743190.060199999971255619000000000000000000
2021-04-14T17:00:00+00:00,416930190.060199999970857619000000000000000000
2021-04-14T18:00:00+00:00,431005990.060199999971290419000000000000000000
2021-04-14T19:00:00+00:00,432070798.060199999971454619000000000000000000
2021-04-14T20:00:00+00:00,433310995.060199999972429719000000000000000000
2021-04-14T21:00:00+00:00,437904780.060199999971723119000000000000000000
2021-04-14T22:00:00+00:00,439084780.060199999972170919000000000000000000
2021-04-14T23:00:00+00:00,441637780.060199999972932119000000000000000000
2021-04-15T00:00:00+00:00,442402780.060199999972623619000000000000000000
2021-04-15T01:00:00+00:00,442715364.060199999973001719000000000000000000
2021-04-15T02:00:00+00:00,443890314.060199999972504319000000000000000000
2021-04-15T03:00:00+00:00,443895639.060199999972504319000000000000000000
2021-04-15T04:00:00+00:00,445445279.060199999972016719000000000000000000
2021-04-15T05:00:00+00:00,447459614.060199999971608619000000000000000000
2021-04-15T06:00:00+00:00,448955354.060199999971260219000000000000000000
2021-04-15T07:00:00+00:00,471441338.060199999971936819000000000000000000
2021-04-15T08:00:00+00:00,472193738.060199999971852319000000000000000000
2021-04-15T09:00:00+00:00,473330473.060199999972882319000000000000000000
2021-04-15T10:00:00+00:00,478034048.060199999973364892000000000000000000
2021-04-15T11:00:00+00:00,478517083.060199999972698092000000000000000000
2021-04-15T12:00:00+00:00,478926308.060199999973165792000000000000000000
2021-04-15T13:00:00+00:00,483719158.060199999971931992000000000000000000
2021-04-15T14:00:00+00:00,486747942.360199999970921992000000000000000000
2021-04-15T15:00:00+00:00,487235135.360199999970469292000000000000000000
2021-04-15T16:00:00+00:00,493673865.360199999970732992000000000000000000
2021-04-15T17:00:00+00:00,495766742.060199999970011692000000000000000000
2021-04-15T18:00:00+00:00,496794507.060199999967882292000000000000000000
2021-04-15T19:00:00+00:00,497234607.060199999968011592000000000000000000
2021-04-15T20:00:00+00:00,513436727.058999999968130992000000000000000000
2021-04-15T21:00:00+00:00,515631710.004999999967733192000000000000000000
2021-04-15T22:00:00+00:00,516241564.004999999967320192000000000000000000
2021-04-15T23:00:00+00:00,519514064.004999999967116192000000000000000000
2021-04-16T00:00:00+00:00,519769289.004999999967578892000000000000000000
2021-04-16T01:00:00+00:00,519876789.004999999967772892000000000000000000
2021-04-16T02:00:00+00:00,523109175.004999999967613692000000000000000000
2021-04-16T03:00:00+00:00,523201975.004999999967603792000000000000000000
2021-04-16T04:00:00+00:00,523477575.004999999966762992000000000000000000
2021-04-16T05:00:00+00:00,523639575.004999999966673392000000000000000000
2021-04-16T06:00:00+00:00,526426109.674999999966937092000000000000000000
2021-04-16T07:00:00+00:00,528739301.674999999967504292000000000000000000
2021-04-16T08:00:00+00:00,530150301.674999999967190792000000000000000000
2021-04-16T09:00:00+00:00,529874871.544999999977882392000000000000000000
2021-04-16T10:00:00+00:00,531992071.224999999978678492000000000000000000
2021-04-16T11:00:00+00:00,535795068.224999999977937092000000000000000000
2021-04-16T12:00:00+00:00,535809338.224999999977937092000000000000000000
2021-04-16T13:00:00+00:00,536416338.224999999977076392000000000000000000
2021-04-16T14:00:00+00:00,536425838.224999999977076392000000000000000000
2021-04-16T15:00:00+00:00,536525838.224999999977459492000000000000000000
2021-04-16T16:00:00+00:00,536549338.224999999977459492000000000000000000
2021-04-16T17:00:00+00:00,536986637.124999999977882292000000000000000000
2021-04-16T18:00:00+00:00,537356694.904999999977981692000000000000000000
2021-04-16T19:00:00+00:00,538524191.904999999977305092000000000000000000
2021-04-16T20:00:00+00:00,539024191.904999999977673292000000000000000000
2021-04-16T21:00:00+00:00,540008191.904999999977658392000000000000000000
2021-04-16T22:00:00+00:00,539959073.904999999977459392000000000000000000
2021-04-16T23:00:00+00:00,540094293.904999999976986792000000000000000000
2021-04-17T00:00:00+00:00,540218793.904999999977424592000000000000000000
2021-04-17T01:00:00+00:00,540226744.224999999977116092000000000000000000
2021-04-17T02:00:00+00:00,540915744.224999999977086292000000000000000000
2021-04-17T03:00:00+00:00,541212545.104999999977394692000000000000000000
2021-04-17T04:00:00+00:00,541032545.104999999977449392000000000000000000
2021-04-17T05:00:00+00:00,543340045.104999999977852392000000000000000000
2021-04-17T06:00:00+00:00,544939041.104999999977867292000000000000000000
2021-04-17T07:00:00+00:00,545206541.098999999977897192000000000000000000
2021-04-17T08:00:00+00:00,546218541.098999999978066292000000000000000000
2021-04-17T10:00:00+00:00,546452366.098999999978578692000000000000000000
2021-04-17T11:00:00+00:00,548052366.098999999979066292000000000000000000
2021-04-17T12:00:00+00:00,548450426.098999999978946856000000000000000000
2021-04-17T13:00:00+00:00,548047060.098999999979354789000000000000000000
2021-04-17T14:00:00+00:00,550853060.098999999979494089000000000000000000
2021-04-17T15:00:00+00:00,550268060.098999999979494089000000000000000000
2021-04-17T16:00:00+00:00,553195060.098999999979474189000000000000000000
2021-04-17T17:00:00+00:00,553234852.098999999979469189000000000000000000
2021-04-17T18:00:00+00:00,553217477.098999999979469189000000000000000000
2021-04-17T19:00:00+00:00,553396476.908999999979852289000000000000000000
2021-04-17T20:00:00+00:00,553778178.968999999979892089000000000000000000
2021-04-17T21:00:00+00:00,553860554.968999999979081189000000000000000000
2021-04-17T22:00:00+00:00,554356104.968999999978230389000000000000000000
2021-04-17T23:00:00+00:00,554078604.968999999978444389000000000000000000
2021-04-18T00:00:00+00:00,553530144.898999999978041389000000000000000000
2021-04-18T01:00:00+00:00,553354144.898999999977857389000000000000000000
2021-04-18T02:00:00+00:00,553322144.898999999977857389000000000000000000
